,id,Formation,Title,number of views,note,URL,Update/Offer Date,Learning Points,Search Query
0,1,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/creating-dashboards-in-tableau,avril 2025,...,AI
1,2,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/intermediate-dax-in-power-bi,avril 2025,...,AI
2,3,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-snowflake-sql,avril 2025,...,AI
3,4,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/statistical-techniques-in-tableau,avril 2025,...,AI
4,5,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-functions-in-python,avril 2025,...,AI
5,6,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/foundations-of-git,avril 2025,...,AI
6,7,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-statistics,avril 2025,...,AI
7,8,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/data-transformation-in-power-bi,avril 2025,...,AI
8,9,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/data-analysis-in-excel,avril 2025,...,AI
9,10,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-spark-sql-in-python,avril 2025,...,AI
10,11,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/recommendation-engines-in-pyspark,avril 2025,...,AI
11,12,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/data-communication-concepts,avril 2025,...,AI
12,13,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/data-driven-decision-making-in-sql,avril 2025,...,AI
13,14,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/ab-testing-in-python,avril 2025,...,AI
14,15,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/intermediate-data-modeling-in-power-bi,avril 2025,...,AI
15,16,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-testing-in-python,avril 2025,...,AI
16,17,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-dax-in-power-bi,avril 2025,...,AI
17,18,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/interactive-data-visualization-with-plotly-in-r,avril 2025,...,AI
18,19,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/financial-modeling-in-google-sheets,avril 2025,...,AI
19,20,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/working-with-the-openai-api,avril 2025,...,AI
20,21,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/introduction-to-bash-scripting,avril 2025,...,AI
21,22,DataCamp,www.datacamp.com,1500,4.8,https://www.datacamp.com/courses/machine-learning-with-caret-in-r,avril 2025,...,AI
