Produit,Titre,URL,nom,Description
Formation IA,Artificial Intelligence - IBM Training,https://www.ibm.com/training/artificial-intelligence,ibm.com,Build proficiency with the IBM watsonx.ai Introduction to Generative AI Models lab! Learn more. Build your skills.
Formation IA,Artificial Intelligence (AI) Courses & Training,https://www.udacity.com/school/artificial-intelligence,udacity.com,"Our School of Artificial Intelligence offers AI training and machine learning courses as well as programs focusing on deep learning, computer vision, natural ..."
Formation IA,Artificial Intelligence Training and Resources,https://www.isaca.org/resources/artificial-intelligence,isaca.org,"At ISACA, our innovative AI training and resources empower you to build your AI knowledge and skills, no matter where you are in your learning journey."
Formation IA,A free online introduction to artificial intelligence for non-experts,https://www.elementsofai.com/,elementsofai.com,MinnaLearn is an online learning company providing tooling for high quality AI education. We provide an easy way to upskill your organization in AI. Read more ...
Formation IA,Top Artificial Intelligence (AI) Courses Online,https://www.udemy.com/topic/artificial-intelligence/?srsltid=AfmBOopzt1dk5C5-2tMgraLfWm8kEVDCOlcJdjOoamlFxXB0FaytuZoW,udemy.com,"Learn AI with an artificial intelligence course from experienced instructors on Udemy, and enhance your computer science skills to further your career."
Formation IA,DeepLearning.AI: Start or Advance Your Career in AI,https://www.deeplearning.ai/,deeplearning.ai,Join over 7 million people learning how to use and build AI. AI Courses and Specializations. Build a foundation of machine learning and AI skills.
Formation IA,AI and Machine Learning Courses,https://www.sas.com/en_us/training/programs/aiml-courses.html,sas.com,"Explore AI and machine learning with learning paths for beginners, business leaders, machine learning engineers and machine learning professionals."
Formation IA,Machine learning online courses and programs,https://www.edx.org/learn/machine-learning,edx.org,"Jul 2, 2025 — A machine learning course takes 4-12 weeks. Courses can help you learn specific knowledge and skills. Prices range from $50-$300. Certificates."
Formation IA,Machine Learning Courses & Tutorials,https://www.codecademy.com/catalog/subject/machine-learning,codecademy.com,"Register for Codecademy's certified professional machine learning courses: Intro, Intermediate, & Advanced ML. Develop skills for data-driven breakthroughs."
Formation IA,Machine Learning Courses | Online Courses for All Levels,https://www.datacamp.com/category/machine-learning,datacamp.com,"Build your machine learning skills with interactive courses, tracks and projects for all levels, curated by real-world experts."
Formation IA,AI and machine learning courses,https://www.simplilearn.com/ai-and-machine-learning,simplilearn.com,"Unleash your career potential with our AI ML courses. Tailored for diverse industries & roles at top global firms, our AI and ML courses feature key tools."
Formation IA,Advancing Education in Artificial Intelligence,https://www.aivancity.ai/en/editorial,aivancity.ai,"This continuing education offer is broad and extensive: it concerns engineers keen on understanding AI and data science developments, and less technical ..."
Formation IA,Blog and News AI | Resources and Trends in Education ...,https://www.learningrobots.ai/en/blog-actualites,learningrobots.ai,"Stay up to date on the latest artificial intelligence news, teaching resources and innovations in AI education. Learn more about events, AI trends for ..."
Formation IA,Find a Deep Learning consulting firm,https://mentorcruise.com/consulting-firms/deeplearning/,mentorcruise.com,"Deep Learning Training. Get access to Deep Learning training and corporate training through workshops, tutoring, and customized programs. Deep Learning Services."
Formation IA,10 Top Machine Learning Consulting Companies in 2025,https://www.entrans.ai/blog/machine-learning-consulting-companies,entrans.ai,"Aug 8, 2025 — 1. Entrans. Entrans is a top machine learning consulting company and product engineering firm. With strong attention to Deep Learning, Machine ..."
